ISO4217-currency_alphabetic_code,Banknotes,Withdraw Minimum,Withdraw Maximum,Currency to USD,USD to Currency
USD,"1,5,10,20,50,100",20,1000,1,1
EUR,"10,20,50",10,300,1.0957085,0.912651
GBP,"5,10,20,50",10,300,1.3149519,0.76048409
AUD,"5,10,20,50,100",5,1000,0.75103967,1.331488
CAD,"20,50,100",20,500,0.8002762,1.249569
CNY,"10,50,100",100,3000,0.15676361,6.37859
HKD,"20,50,100",20,20000,0.12771849,7.82972
JPY,"1000, 5000, 10000",1000,100000,0.008137038,122.894839
SGD,"10,50",20,500,0.73474363,1.361019
CHF,"20,50,100",20,1000,1.0715339,0.933214
SEK,"20,50,100",20,2000,0.10594057,9.43925
XOF,"1000, 5000",1000,100000,0.001669998,598.803
ZAR,,,,0.068535063,14.5959
THB,,,,0.029711844,33.6566
INR,,,,0.013105493,76.3059
NZD,,,,0.6943188,1.44026
TWD,,,,,28.5528
AFN,,,,,87.4133
ALL,,,,,110.5987
DZD,,,,,142.8211
AOA,,,,,448.8307
XCD,,,,,2.6843
ARS,,,,,110.0535
AMD,,,,,488.3336
AWG,,,,,1.7807
AZN,,,,,1.6995
BSD,,,,,1.0067
BHD,,,,,0.3775
BDT,,,,,85.7479
BBD,,,,,2.0135
BYN,,,,,3250.0181
BZD,,,,,1.9976
BMD,,,,,1
BTN,,,,,76.1589
BOB,,,,,6.8381
BAM,,,,,1.7742
BWP,,,,,11.5866
NOK,,,,,8.7294
BRL,,,,,4.9079
BND,,,,,1.3583
BGN,,,,,1.7741
BIF,,,,,2002.803
CVE,,,,,100.0227
KHR,,,,,4034.7605
XAF,,,,,595.0263
KYD,,,,,0.82
CLP,,,,,798.4534
MOP,,,,,8.0606
COP,,,,,3756.6491
KMF,,,,,446.27
CRC,,,,,641.5956
HRK,,,,,6.8714
CUP,,,,,24.9954
ANG,,,,,
CZK,,,,,22.3866
KPW,,,,,900.0571
CDF,,,,,1994.2036
DKK,,,,,6.7491
DJF,,,,,177.5063
DOP,,,,,54.8253
EGP,,,,,18.5278
SVC,,,,,8.7501
ERN,,,,,15.0698
SZL,,,,,14.7825
ETB,,,,,50.8309
FKP,,,,,0.77
FJD,,,,,2.0854
XPF,,,,,108.2475
GMD,,,,,53.4478
GEL,,,,,3.2121
GHS,,,,,7.3997
GIP,,,,,0.7529
GTQ,,,,,7.6846
GNF,,,,,8810.5588
GYD,,,,,207.9962
HTG,,,,,103.9958
HNL,,,,,24.2997
HUF,,,,,336.7471
ISK,,,,,129.4448
IDR,,,,,14339.6226
IRR,,,,,42634.7968
IQD,,,,,1458.6176
ILS,,,,,3.2222
JMD,,,,,151.9575
JOD,,,,,0.708
KZT,,,,,508.3082
KES,,,,,114.4594
KWD,,,,,0.3041
KGS,,,,,99.853
LAK,,,,,11579.5537
LBP,,,,,1505.3792
LSL,,,,,14.82
LRD,,,,,152.129
LYD,,,,,4.652
MGA,,,,,3975.1905
MWK,,,,,808.9604
MYR,,,,,4.2165
MVR,,,,,15.5713
MRU,,,,,354.981
MUR,,,,,44.2132
MXN,,,,,20.2891
MNT,,,,,2914.7315
MAD,,,,,9.711
MZN,,,,,63.0238
MMK,,,,,1769.5845
NAD,,,,,14.8038
NPR,,,,,121.7326
NIO,,,,,35.5315
NGN,,,,,415.3447
OMR,,,,,0.3845
PKR,,,,,181.689
PAB,,,,,28.5445
PGK,,,,,3.5184
PYG,,,,,6959.1437
PEN,,,,,3.7879
PHP,,,,,52.3848
PLN,,,,,4.2499
QAR,,,,,3.6402
KRW,,,,,1218.9858
MDL,,,,,18.3201
RON,,,,,4.4868
RUB,,,,,104.0693
RWF,,,,,1007.7014
SHP,,,,,0.7529
WST,,,,,2.5746
STN,,,,,22.349249
SAR,,,,,3.7502
RSD,,,,,106.8206
SCR,,,,,14.2181
SLL,,,,,11614.1147
ANG,,,,,1.7849
SBD,,,,,8.04
SOS,,,,,571.2019
SSP,,,,,430.8255
LKR,,,,,274.5347
SDG,,,,,445.41
SRD,,,,,20.7368
SYP,,,,,2511.2482
TJS,,,,,12.9595
MKD,,,,,55.7552
TOP,,,,,2.2371
TTD,,,,,6.7659
TND,,,,,2.929
TRY,,,,,14.8251
TMT,,,,,3.3556
UGX,,,,,3576.6237
UAH,,,,,29.2486
AED,,,,,3.6727
TZS,,,,,2315.0943
UYU,,,,,42.3225
UZS,,,,,11468.7954
VUV,,,,,110.3447
VED,,,,,251685.4136
VND,,,,,22709.18
YER,,,,,250.01
ZMW,,,,,17.6481
ZWL,,,,,1.00E+29
